week_start,dma_code,dma_name,search_spend,meta_spend,youtube_spend,search_impressions,meta_impressions,youtube_impressions,paid_conversions,arr,promo_flag,holiday_flag,launch_flag,competitor_event_flag,region,population,eligible
2024-01-15,505,Detroit,1525,1249,1069,68625,112410,128280,256,271230,0,0,0,0,Midwest,1900000,true
2024-01-15,506,Boston,1622,1319,1123,72990,118710,134760,288,300180,1,0,0,0,Northeast,2500000,true
2024-01-15,623,Dallas-Ft. Worth,1719,1388,1176,77355,124920,141120,280,293130,0,0,0,0,South,2800000,false
2024-01-22,501,New York,1160,986,869,52200,88740,104280,194,214720,0,0,0,1,Northeast,7500000,true
2024-01-22,803,Los Angeles,1258,1056,922,56610,95040,110640,236,252670,1,0,0,0,West,5800000,true
2024-01-22,602,Chicago,1356,1127,976,61020,101430,117120,218,236620,0,0,0,1,Midwest,3500000,true
2024-01-22,504,Philadelphia,1454,1198,1030,65430,107820,123600,240,256570,0,0,0,0,Northeast,3000000,true
2024-01-22,511,Washington DC,1552,1268,1084,69840,114120,130080,242,258520,0,0,0,1,Mid-Atlantic,2600000,true
2024-01-22,505,Detroit,1650,1339,1138,74250,120510,136560,284,296470,1,0,0,0,Midwest,1900000,true
2024-01-22,506,Boston,1748,1409,1192,78660,126810,143040,266,280420,0,0,0,1,Northeast,2500000,true
2024-01-22,623,Dallas-Ft. Worth,1846,1480,1246,83070,133200,149520,288,300370,0,0,0,0,South,2800000,false
2024-01-29,501,New York,1280,1072,935,57600,96480,112200,232,248960,1,0,0,0,Northeast,7500000,true
2024-01-29,803,Los Angeles,1379,1144,989,62055,102960,118680,224,241910,0,0,0,0,West,5800000,true
2024-01-29,602,Chicago,1478,1215,1043,66510,109350,125160,236,252860,0,0,0,0,Midwest,3500000,true
2024-01-29,504,Philadelphia,1577,1286,1098,70965,115740,131760,248,263810,0,0,0,0,Northeast,3000000,true
2024-01-29,511,Washington DC,1676,1357,1152,75420,122130,138240,280,292760,1,0,0,0,Mid-Atlantic,2600000,true
2024-01-29,505,Detroit,1775,1429,1207,79875,128610,144840,272,285710,0,0,0,0,Midwest,1900000,true
2024-01-29,506,Boston,1874,1500,1261,84330,135000,151320,284,296660,0,0,0,0,Northeast,2500000,true
2024-01-29,623,Dallas-Ft. Worth,1973,1571,1316,88785,141390,157920,296,307610,0,0,0,0,South,2800000,false
2024-02-05,501,New York,1400,1159,1001,63000,104310,120120,235,251700,0,1,0,0,Northeast,7500000,true
2024-02-05,803,Los Angeles,1500,1231,1056,67500,110790,126720,247,262650,0,1,0,0,West,5800000,true
2024-02-05,602,Chicago,1600,1303,1111,72000,117270,133320,259,273600,0,1,0,0,Midwest,3500000,true
2024-02-05,504,Philadelphia,1700,1375,1166,76500,123750,139920,291,302550,1,1,0,0,Northeast,3000000,true
2024-02-05,511,Washington DC,1800,1447,1221,81000,130230,146520,283,295500,0,1,0,0,Mid-Atlantic,2600000,true
2024-02-05,505,Detroit,1900,1519,1276,85500,136710,153120,295,306450,0,1,0,0,Midwest,1900000,true
2024-02-05,506,Boston,2000,1591,1331,90000,143190,159720,307,317400,0,1,0,0,Northeast,2500000,true
2024-02-05,623,Dallas-Ft. Worth,2100,1663,1386,94500,149670,166320,339,346350,1,1,0,0,South,2800000,false
2024-02-12,501,New York,1520,1245,1067,68400,112050,128040,228,245440,0,0,0,0,Northeast,7500000,true
2024-02-12,803,Los Angeles,1621,1318,1122,72945,118620,134640,240,256390,0,0,0,0,West,5800000,true
2024-02-12,602,Chicago,1722,1391,1178,77490,125190,141360,272,285340,1,0,0,0,Midwest,3500000,true
2024-02-12,504,Philadelphia,1823,1463,1233,82035,131670,147960,264,278290,0,0,0,0,Northeast,3000000,true
2024-02-12,511,Washington DC,1924,1536,1289,86580,138240,154680,276,289240,0,0,0,0,Mid-Atlantic,2600000,true
2024-02-12,505,Detroit,2025,1609,1344,91125,144810,161280,288,300190,0,0,0,0,Midwest,1900000,true
2024-02-12,506,Boston,2126,1681,1400,95670,151290,168000,320,329140,1,0,0,0,Northeast,2500000,true
2024-02-12,623,Dallas-Ft. Worth,2227,1754,1455,100215,157860,174600,312,322090,0,0,0,0,South,2800000,false
2024-02-19,501,New York,1640,1332,1133,73800,119880,135960,261,275180,0,0,1,0,Northeast,7500000,true
2024-02-19,803,Los Angeles,1742,1405,1189,78390,126450,142680,293,304130,1,0,1,0,West,5800000,true
2024-02-19,602,Chicago,1844,1478,1245,82980,133020,149400,285,297080,0,0,1,0,Midwest,3500000,true
2024-02-19,504,Philadelphia,1946,1552,1301,87570,139680,156120,297,308030,0,0,1,0,Northeast,3000000,true
2024-02-19,511,Washington DC,2048,1625,1357,92160,146250,162840,309,318980,0,0,1,0,Mid-Atlantic,2600000,true
2024-02-19,505,Detroit,2150,1699,1413,96750,152910,169560,341,347930,1,0,1,0,Midwest,1900000,true
2024-02-19,506,Boston,2252,1772,1469,101340,159480,176280,333,340880,0,0,1,0,Northeast,2500000,true
2024-02-19,623,Dallas-Ft. Worth,2354,1846,1525,105930,166140,183000,345,351830,0,0,1,0,South,2800000,false
2024-02-26,501,New York,1760,1418,1199,79200,127620,143880,264,277920,1,0,0,0,Northeast,7500000,true
2024-02-26,803,Los Angeles,1863,1492,1255,83835,134280,150600,256,270870,0,0,0,0,West,5800000,true
2024-02-26,602,Chicago,1966,1566,1312,88470,140940,157440,268,281820,0,0,0,0,Midwest,3500000,true
2024-02-26,504,Philadelphia,2069,1640,1368,93105,147600,164160,280,292770,0,0,0,0,Northeast,3000000,true
2024-02-26,511,Washington DC,2172,1715,1425,97740,154350,171000,312,321720,1,0,0,0,Mid-Atlantic,2600000,true
2024-02-26,505,Detroit,2275,1789,1482,102375,161010,177840,304,314670,0,0,0,0,Midwest,1900000,true
2024-02-26,506,Boston,2378,1863,1538,107010,167670,184560,316,325620,0,0,0,0,Northeast,2500000,true
2024-02-26,623,Dallas-Ft. Worth,2481,1937,1595,111645,174330,191400,328,336570,0,0,0,0,South,2800000,false
2024-03-04,501,New York,1880,1504,1265,84600,135360,151800,242,258160,0,0,0,1,Northeast,7500000,true
2024-03-04,803,Los Angeles,1984,1579,1322,89280,142110,158640,264,278110,0,0,0,0,West,5800000,true
2024-03-04,602,Chicago,2088,1654,1379,93960,148860,165480,266,280060,0,0,0,1,Midwest,3500000,true
2024-03-04,504,Philadelphia,2192,1729,1436,98640,155610,172320,308,318010,1,0,0,0,Northeast,3000000,true
2024-03-04,511,Washington DC,2296,1804,1493,103320,162360,179160,290,301960,0,0,0,1,Mid-Atlantic,2600000,true
2024-03-04,505,Detroit,2400,1879,1551,108000,169110,186120,312,321910,0,0,0,0,Midwest,1900000,true
2024-03-04,506,Boston,2504,1954,1608,112680,175860,192960,314,323860,0,0,0,1,Northeast,2500000,true
2024-03-04,623,Dallas-Ft. Worth,2551,1987,1634,114795,178830,196080,356,361810,1,0,0,0,South,2800000,false
2024-03-11,501,New York,2000,1591,1331,90000,143190,159720,260,274400,0,0,0,0,Northeast,7500000,true
2024-03-11,803,Los Angeles,2105,1666,1388,94725,149940,166560,272,285350,0,0,0,0,West,5800000,true
2024-03-11,602,Chicago,2210,1742,1446,99450,156780,173520,304,314300,1,0,0,0,Midwest,3500000,true
2024-03-11,504,Philadelphia,2315,1818,1504,104175,163620,180480,296,307250,0,0,0,0,Northeast,3000000,true
2024-03-11,511,Washington DC,2420,1893,1562,108900,170370,187440,308,318200,0,0,0,0,Mid-Atlantic,2600000,true
2024-03-11,505,Detroit,2525,1969,1619,113625,177210,194280,320,329150,0,0,0,0,Midwest,1900000,true
2024-03-11,506,Boston,2573,2003,1646,115785,180270,197520,352,358100,1,0,0,0,Northeast,2500000,true
2024-03-11,623,Dallas-Ft. Worth,2678,2079,1703,120510,187110,204360,344,351050,0,0,0,0,South,2800000,false
2024-03-18,501,New York,2120,1677,1397,95400,150930,167640,268,281640,0,0,0,0,Northeast,7500000,true
2024-03-18,803,Los Angeles,2226,1753,1455,100170,157770,174600,300,310590,1,0,0,0,West,5800000,true
2024-03-18,602,Chicago,2332,1830,1513,104940,164700,181560,292,303540,0,0,0,0,Midwest,3500000,true
2024-03-18,504,Philadelphia,2438,1906,1571,109710,171540,188520,304,314490,0,0,0,0,Northeast,3000000,true
2024-03-18,511,Washington DC,2544,1982,1630,114480,178380,195600,316,325440,0,0,0,0,Mid-Atlantic,2600000,true
2024-03-18,505,Detroit,2650,2059,1688,119250,185310,202560,348,354390,1,0,0,0,Midwest,1900000,true
2024-03-18,506,Boston,2699,2094,1715,121455,188460,205800,340,347340,0,0,0,0,Northeast,2500000,true
2024-03-18,623,Dallas-Ft. Worth,2805,2170,1773,126225,195300,212760,352,358290,0,0,0,0,South,2800000,false
2024-03-25,501,New York,2240,1764,1463,100800,158760,175560,311,320380,1,1,0,0,Northeast,7500000,true
2024-03-25,803,Los Angeles,2347,1841,1521,105615,165690,182520,303,313330,0,1,0,0,West,5800000,true
2024-03-25,602,Chicago,2454,1918,1580,110430,172620,189600,315,324280,0,1,0,0,Midwest,3500000,true
2024-03-25,504,Philadelphia,2561,1995,1639,115245,179550,196680,327,335230,0,1,0,0,Northeast,3000000,true
2024-03-25,511,Washington DC,2668,2072,1698,120060,186480,203760,359,364180,1,1,0,0,Mid-Atlantic,2600000,true
2024-03-25,505,Detroit,2718,2108,1725,122310,189720,207000,351,357130,0,1,0,0,Midwest,1900000,true
2024-03-25,506,Boston,2825,2185,1784,127125,196650,214080,363,368080,0,1,0,0,Northeast,2500000,true
2024-03-25,623,Dallas-Ft. Worth,2932,2262,1843,131940,203580,221160,375,379030,0,1,0,0,South,2800000,false
2024-04-01,501,New York,2360,1850,1529,106200,166500,183480,284,296120,0,0,0,0,Northeast,7500000,true
2024-04-01,803,Los Angeles,2468,1928,1588,111060,173520,190560,296,307070,0,0,0,0,West,5800000,true
2024-04-01,602,Chicago,2576,2005,1647,115920,180450,197640,308,318020,0,0,0,0,Midwest,3500000,true
2024-04-01,504,Philadelphia,2684,2083,1707,120780,187470,204840,340,346970,1,0,0,0,Northeast,3000000,true
2024-04-01,511,Washington DC,2792,2161,1766,125640,194490,211920,332,339920,0,0,0,0,Mid-Atlantic,2600000,true
2024-04-01,505,Detroit,2843,2198,1794,127935,197820,215280,344,350870,0,0,0,0,Midwest,1900000,true
2024-04-01,506,Boston,2951,2275,1854,132795,204750,222480,356,361820,0,0,0,0,Northeast,2500000,true
2024-04-01,623,Dallas-Ft. Worth,3059,2353,1913,137655,211770,229560,388,390770,1,0,0,0,South,2800000,false
