week_start,dma_code,dma_name,channel,spend,impressions,clicks
2024-03-11,501,New York,Search,2000,90000,7200
2024-03-11,501,New York,Meta,1591,143190,5727
2024-03-11,501,New York,YouTube,1331,159720,3194
2024-03-11,803,Los Angeles,Search,2105,94725,7578
2024-03-11,803,Los Angeles,Meta,1666,149940,5997
2024-03-11,803,Los Angeles,YouTube,1388,166560,3331
2024-03-11,602,Chicago,Search,2210,99450,7956
2024-03-11,602,Chicago,Meta,1742,156780,6271
2024-03-11,602,Chicago,YouTube,1446,173520,3470
2024-03-11,504,Philadelphia,Search,2315,104175,8334
2024-03-11,504,Philadelphia,Meta,1818,163620,6544
2024-03-11,504,Philadelphia,YouTube,1504,180480,3609
2024-03-11,511,Washington DC,Search,2420,108900,8712
2024-03-11,511,Washington DC,Meta,1893,170370,6814
2024-03-11,511,Washington DC,YouTube,1562,187440,3748
2024-03-11,505,Detroit,Search,2525,113625,9090
2024-03-11,505,Detroit,Meta,1969,177210,7088
2024-03-11,505,Detroit,YouTube,1619,194280,3885
2024-03-11,506,Boston,Search,2573,115785,9262
2024-03-11,506,Boston,Meta,2003,180270,7210
2024-03-11,506,Boston,YouTube,1646,197520,3950
2024-03-11,623,Dallas-Ft. Worth,Search,2678,120510,9640
2024-03-11,623,Dallas-Ft. Worth,Meta,2079,187110,7484
2024-03-11,623,Dallas-Ft. Worth,YouTube,1703,204360,4087
2024-03-18,501,New York,Search,2120,95400,7632
2024-03-18,501,New York,Meta,1677,150930,6037
2024-03-18,501,New York,YouTube,1397,167640,3352
2024-03-18,803,Los Angeles,Search,2226,100170,8013
2024-03-18,803,Los Angeles,Meta,1753,157770,6310
2024-03-18,803,Los Angeles,YouTube,1455,174600,3492
2024-03-18,602,Chicago,Search,2332,104940,8395
2024-03-18,602,Chicago,Meta,1830,164700,6588
2024-03-18,602,Chicago,YouTube,1513,181560,3631
2024-03-18,504,Philadelphia,Search,2438,109710,8776
2024-03-18,504,Philadelphia,Meta,1906,171540,6861
2024-03-18,504,Philadelphia,YouTube,1571,188520,3770
2024-03-18,511,Washington DC,Search,2544,114480,9158
2024-03-18,511,Washington DC,Meta,1982,178380,7135
2024-03-18,511,Washington DC,YouTube,1630,195600,3912
2024-03-18,505,Detroit,Search,2650,119250,9540
2024-03-18,505,Detroit,Meta,2059,185310,7412
2024-03-18,505,Detroit,YouTube,1688,202560,4051
2024-03-18,506,Boston,Search,2699,121455,9716
2024-03-18,506,Boston,Meta,2094,188460,7538
2024-03-18,506,Boston,YouTube,1715,205800,4116
2024-03-18,623,Dallas-Ft. Worth,Search,2805,126225,10098
2024-03-18,623,Dallas-Ft. Worth,Meta,2170,195300,7812
2024-03-18,623,Dallas-Ft. Worth,YouTube,1773,212760,4255
2024-03-25,501,New York,Search,2240,100800,8064
2024-03-25,501,New York,Meta,1764,158760,6350
2024-03-25,501,New York,YouTube,1463,175560,3511
2024-03-25,803,Los Angeles,Search,2347,105615,8449
2024-03-25,803,Los Angeles,Meta,1841,165690,6627
2024-03-25,803,Los Angeles,YouTube,1521,182520,3650
2024-03-25,602,Chicago,Search,2454,110430,8834
2024-03-25,602,Chicago,Meta,1918,172620,6904
2024-03-25,602,Chicago,YouTube,1580,189600,3792
2024-03-25,504,Philadelphia,Search,2561,115245,9219
2024-03-25,504,Philadelphia,Meta,1995,179550,7182
2024-03-25,504,Philadelphia,YouTube,1639,196680,3933
2024-03-25,511,Washington DC,Search,2668,120060,9604
2024-03-25,511,Washington DC,Meta,2072,186480,7459
2024-03-25,511,Washington DC,YouTube,1698,203760,4075
2024-03-25,505,Detroit,Search,2718,122310,9784
2024-03-25,505,Detroit,Meta,2108,189720,7588
2024-03-25,505,Detroit,YouTube,1725,207000,4140
2024-03-25,506,Boston,Search,2825,127125,10170
2024-03-25,506,Boston,Meta,2185,196650,7866
2024-03-25,506,Boston,YouTube,1784,214080,4281
2024-03-25,623,Dallas-Ft. Worth,Search,2932,131940,10555
2024-03-25,623,Dallas-Ft. Worth,Meta,2262,203580,8143
2024-03-25,623,Dallas-Ft. Worth,YouTube,1843,221160,4423
2024-04-01,501,New York,Search,2360,106200,8496
2024-04-01,501,New York,Meta,1850,166500,6660
2024-04-01,501,New York,YouTube,1529,183480,3669
2024-04-01,803,Los Angeles,Search,2468,111060,8884
2024-04-01,803,Los Angeles,Meta,1928,173520,6940
2024-04-01,803,Los Angeles,YouTube,1588,190560,3811
2024-04-01,602,Chicago,Search,2576,115920,9273
2024-04-01,602,Chicago,Meta,2005,180450,7218
2024-04-01,602,Chicago,YouTube,1647,197640,3952
2024-04-01,504,Philadelphia,Search,2684,120780,9662
2024-04-01,504,Philadelphia,Meta,2083,187470,7498
2024-04-01,504,Philadelphia,YouTube,1707,204840,4096
2024-04-01,511,Washington DC,Search,2792,125640,10051
2024-04-01,511,Washington DC,Meta,2161,194490,7779
2024-04-01,511,Washington DC,YouTube,1766,211920,4238
2024-04-01,505,Detroit,Search,2843,127935,10234
2024-04-01,505,Detroit,Meta,2198,197820,7912
2024-04-01,505,Detroit,YouTube,1794,215280,4305
2024-04-01,506,Boston,Search,2951,132795,10623
2024-04-01,506,Boston,Meta,2275,204750,8190
2024-04-01,506,Boston,YouTube,1854,222480,4449
2024-04-01,623,Dallas-Ft. Worth,Search,3059,137655,11012
2024-04-01,623,Dallas-Ft. Worth,Meta,2353,211770,8470
2024-04-01,623,Dallas-Ft. Worth,YouTube,1913,229560,4591
